City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Nantucket,US,78.91,fog,41.2835,-70.0995,Jared Coffin House
250,Mayo,US,81.99,clear sky,38.8876,-76.5119,Resorts Resource Group International
251,Esmeralda,CU,78.24,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
253,Atambua,ID,79.72,clear sky,-9.1061,124.8925,Kost Alfa Flat
254,Avera,US,80.11,scattered clouds,33.194,-82.5271,
257,Palmer,US,79.21,broken clouds,42.1584,-72.3287,Wedgewood Motel
262,Sena Madureira,BR,76.33,broken clouds,-9.0656,-68.6569,Hotel Central
263,Healdsburg,US,85.91,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
264,Zeya,RU,86.43,few clouds,53.75,127.2667,Kapital Inn
265,Marshall,US,81.37,clear sky,34.3834,-86.3333,Riverview Campground
269,Pangkalanbuun,ID,85.26,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
276,Banyuwangi,ID,81.55,scattered clouds,-8.2325,114.3576,Dannu's Homestay
279,Kudahuvadhoo,MV,82.56,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
284,Linxia,CN,76.57,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
287,Beidao,CN,79.79,few clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
290,Buala,SB,85.64,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
292,Yebaishou,CN,81.05,clear sky,41.3975,119.6408,Siji Home
293,Fereydun Kenar,IR,78.49,light rain,36.6864,52.5225,Khezer Shahr Tourist Hotel
297,Katsuura,JP,82.04,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
298,Coahuayana,MX,77.77,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
299,Japura,ID,80.06,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
304,Banda Aceh,ID,83.23,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
308,Tanete,ID,84.36,broken clouds,-3.9443,119.7848,Wisma Tri Multi
313,Sangar,RU,76.91,few clouds,63.9242,127.4739,
314,Sitio Novo Do Tocantins,BR,75.07,clear sky,-5.5183,-47.4611,Imperial Hotel
318,Vilyuysk,RU,77.7,clear sky,63.7553,121.6247,Gostinitsa Viliuisk
319,Westport,US,80.64,clear sky,41.1415,-73.3579,The Westport Inn
320,Mana,GF,76.95,overcast clouds,5.6592,-53.7767,LE SAMANA
